Source	Target
http://ar.dbpedia.org/resource/%D8%AC%D8%A7%D9%88_%D9%88%D8%A7%D9%8A	http://ar.dbpedia.org/resource/جاو_واي
http://ar.dbpedia.org/resource/جاو_واي	http://cs.dbpedia.org/resource/Wej_Čao
http://ar.dbpedia.org/resource/جاو_واي	http://dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://de.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://eo.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://es.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://fi.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://fr.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://id.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://it.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://ja.dbpedia.org/resource/ヴィッキー・チャオ
http://ar.dbpedia.org/resource/جاو_واي	http://jv.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://kk.dbpedia.org/resource/Чжао_Вэй
http://ar.dbpedia.org/resource/جاو_واي	http://ko.dbpedia.org/resource/자오웨이
http://ar.dbpedia.org/resource/جاو_واي	http://pl.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://pt.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://rdf.freebase.com/ns/m.05z68y
http://ar.dbpedia.org/resource/جاو_واي	http://ru.dbpedia.org/resource/Чжао_Вэй
http://ar.dbpedia.org/resource/جاو_واي	http://th.dbpedia.org/resource/เจ้า_เวย
http://ar.dbpedia.org/resource/جاو_واي	http://tr.dbpedia.org/resource/Zhao_Wei
http://ar.dbpedia.org/resource/جاو_واي	http://vi.dbpedia.org/resource/Triệu_Vi
http://ar.dbpedia.org/resource/جاو_واي	http://www.wikidata.org/entity/Q197471
http://ar.dbpedia.org/resource/جاو_واي	http://zh.dbpedia.org/resource/趙薇
http://ar.dbpedia.org/resource/%D8%AC%D9%88%D9%86%D8%AC_%D9%84%D9%8A	http://ar.dbpedia.org/resource/جونج_لي
http://ar.dbpedia.org/resource/جونج_لي	http://ca.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://commons.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://cs.dbpedia.org/resource/Kung_Li
http://ar.dbpedia.org/resource/جونج_لي	http://da.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://de.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://el.dbpedia.org/resource/Γκονγκ_Λι
http://ar.dbpedia.org/resource/جونج_لي	http://eo.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://es.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://eu.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://fa.dbpedia.org/resource/گونگ_لی
http://ar.dbpedia.org/resource/جونج_لي	http://fi.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://fr.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://he.dbpedia.org/resource/גונג_לי
http://ar.dbpedia.org/resource/جونج_لي	http://hu.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://id.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://it.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://ja.dbpedia.org/resource/コン・リー
http://ar.dbpedia.org/resource/جونج_لي	http://jv.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://kk.dbpedia.org/resource/Гун_Ли
http://ar.dbpedia.org/resource/جونج_لي	http://ko.dbpedia.org/resource/궁리
http://ar.dbpedia.org/resource/جونج_لي	http://mr.dbpedia.org/resource/कोंग_ली
http://ar.dbpedia.org/resource/جونج_لي	http://ms.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://ne.dbpedia.org/resource/गोङ_ली
http://ar.dbpedia.org/resource/جونج_لي	http://nl.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://no.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://pl.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://pt.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://rdf.freebase.com/ns/m.0139t1
http://ar.dbpedia.org/resource/جونج_لي	http://ro.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://ru.dbpedia.org/resource/Гун_Ли
http://ar.dbpedia.org/resource/جونج_لي	http://sh.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://sq.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://sv.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://th.dbpedia.org/resource/กง_ลี่
http://ar.dbpedia.org/resource/جونج_لي	http://tr.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://uk.dbpedia.org/resource/Гун_Лі
http://ar.dbpedia.org/resource/جونج_لي	http://uk.dbpedia.org/resource/Ґун_Лі
http://ar.dbpedia.org/resource/جونج_لي	http://uz.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://vi.dbpedia.org/resource/Củng_Lợi
http://ar.dbpedia.org/resource/جونج_لي	http://war.dbpedia.org/resource/Gong_Li
http://ar.dbpedia.org/resource/جونج_لي	http://www.wikidata.org/entity/Q150903
http://ar.dbpedia.org/resource/جونج_لي	http://zh.dbpedia.org/resource/巩俐
http://cs.dbpedia.org/resource/Wej_Čao	http://dbpedia.org/resource/Zhao_Wei
http://cs.dbpedia.org/resource/Wej_Čao	http://de.dbpedia.org/resource/Zhao_Wei
http://cs.dbpedia.org/resource/Wej_Čao	http://eo.dbpedia.org/resource/Zhao_Wei
http://cs.dbpedia.org/resource/Wej_Čao	http://es.dbpedia.org/resource/Zhao_Wei
http://cs.dbpedia.org/resource/Wej_Čao	http://fi.dbpedia.org/resource/Zhao_Wei
http://cs.dbpedia.org/resource/Wej_Čao	http://fr.dbpedia.org/resource/Zhao_Wei
http://cs.dbpedia.org/resource/Wej_Čao	http://id.dbpedia.org/resource/Zhao_Wei
http://cs.dbpedia.org/resource/Wej_Čao	http://it.dbpedia.org/resource/Zhao_Wei
