Source	Target
http://dbpedia.org/resource/Burgundy	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000049a5a
http://dbpedia.org/resource/Burgundy_(French_region)	http://data.nytimes.com/43553777731027839441
http://dbpedia.org/resource/Bay_of_Biscay	http://data.nytimes.com/N30038501401041739851
http://rdf.freebase.com/ns/m.0lpp8	http://data.nytimes.com/43553777731027839441
http://rdf.freebase.com/ns/m.0d5sb	http://data.nytimes.com/N30038501401041739851
http://rdf.freebase.com/ns/m.0d5sb	http://dbpedia.org/resource/Cantabrian_sea
http://rdf.freebase.com/ns/m.0d5sb	http://dbpedia.org/resource/Golfe_De_Gascogne
http://fr.dbpedia.org/resource/Royaume_de_Bourgogne	http://ro.dbpedia.org/resource/Regatul_Burgundia
http://dbpedia.org/resource/Chappaqua,_New_York	http://data.nytimes.com/N87963426655427413891
http://data.nytimes.com/43553777731027839441	http://dbpedia.org/resource/Bourgogne
http://data.nytimes.com/43553777731027839441	http://sws.geonames.org/3030967/
http://data.nytimes.com/43553777731027839441	http://dbpedia.org/resource/Burgundy_%28French_region%29
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000051f6f5	http://dbpedia.org/resource/Burgundian_kingdom
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000051f6f5	http://dbpedia.org/resource/Godegisel
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000051f6f5	http://dbpedia.org/resource/Kingdom_of_Upper_Burgundy
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000051f6f5	http://dbpedia.org/resource/Second_Kingdom_of_Burgundy
http://rdf.freebase.com/ns/m.053yrp	http://dbpedia.org/resource/Godegisel
http://rdf.freebase.com/ns/m.053yrp	http://dbpedia.org/resource/Kingdom_of_Upper_Burgundy
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000006170a	http://dbpedia.org/resource/Cantabrian_sea
http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000000956a8	http://dbpedia.org/resource/Bourgogne_%28region%29
http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000049a5a	http://dbpedia.org/resource/Juran_kingdom
http://ru.dbpedia.org/resource/Бургундия_(значения)	http://dbpedia.org/resource/Burgundy
http://hr.dbpedia.org/resource/Burgundija_(razdvojba)	http://dbpedia.org/resource/Burgundy
http://sk.dbpedia.org/resource/Burgundsko	http://dbpedia.org/resource/Burgundy
http://ja.dbpedia.org/resource/バーガンディ	http://dbpedia.org/resource/Burgundy
http://la.dbpedia.org/resource/Burgundia	http://dbpedia.org/resource/Burgundy
http://he.dbpedia.org/resource/בורגונדי	http://dbpedia.org/resource/Burgundy
http://pt.dbpedia.org/resource/Burgúndia	http://dbpedia.org/resource/Burgundy
http://fr.dbpedia.org/resource/Bourgogne_(homonymie)	http://dbpedia.org/resource/Burgundy
http://de.dbpedia.org/resource/Burgund_(Begriffsklärung)	http://dbpedia.org/resource/Burgundy
http://dbpedia.org/resource/Burgundy	http://bg.dbpedia.org/resource/Бургундия_(пояснение)
http://dbpedia.org/resource/Burgundy	http://ceb.dbpedia.org/resource/Bourgogne_(pagklaro)
http://dbpedia.org/resource/Burgundy	http://es.dbpedia.org/resource/Borgoña_(desambiguación)
http://dbpedia.org/resource/Burgundy	http://fy.dbpedia.org/resource/Boergonje
http://dbpedia.org/resource/Burgundy	http://lt.dbpedia.org/resource/Burgundija_(reikšmės)
http://dbpedia.org/resource/Burgundy	http://nl.dbpedia.org/resource/Bourgondië
http://dbpedia.org/resource/Burgundy	http://oc.dbpedia.org/resource/Bourgogne
http://dbpedia.org/resource/Burgundy	http://ro.dbpedia.org/resource/Burgundia_(dezambiguizare)
http://dbpedia.org/resource/Burgundy	http://sl.dbpedia.org/resource/Burgundija_(razločitev)
http://dbpedia.org/resource/Golfo_De_Vizcaya	http://rdf.freebase.com/ns/m.0d5sb
http://dbpedia.org/resource/Burgundy	http://ar.dbpedia.org/resource/منطقة_بورجندي
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000006170a	http://dbpedia.org/resource/Cantabrian_Sea
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000006170a	http://dbpedia.org/resource/Cantabric_Sea
http://dbpedia.org/resource/Cantabric_Sea	http://rdf.freebase.com/ns/m.0d5sb
http://dbpedia.org/resource/Cantabrian_Sea	http://rdf.freebase.com/ns/m.0d5sb
