Source	Target
http://dbpedia.org/resource/Bandon,_Oregon	http://data.nytimes.com/43553777731027839441
http://dbpedia.org/resource/Burgundy	http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000049a5a
http://rdf.freebase.com/ns/m.0d5sb	http://dbpedia.org/resource/Cantabrian_Sea
http://rdf.freebase.com/ns/m.0d5sb	http://dbpedia.org/resource/Cantabric_Sea
http://fr.dbpedia.org/resource/Royaume_de_Bourgogne	http://ro.dbpedia.org/resource/Regatul_Burgundia
http://dbpedia.org/resource/Bourgogne_(disambiguation)	http://wikidata.dbpedia.org/resource/Q16767364
http://dbpedia.org/resource/Chappaqua,_New_York	http://data.nytimes.com/N87963426655427413891
http://dbpedia.org/resource/Cantabrian_Sea	http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000006170a
http://dbpedia.org/resource/Bourgogne	http://data.nytimes.com/N30038501401041739851
http://data.nytimes.com/N87963426655427413891	http://dbpedia.org/resource/Bandon%2C_Oregon
http://dbpedia.org/resource/Bandon%2C_Oregon	http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000000f2d61
http://dbpedia.org/resource/Bandon%2C_Oregon	http://sws.geonames.org/5712417/
http://dbpedia.org/resource/Bandon%2C_Oregon	http://www.rdfabout.com/rdf/usgov/geo/us/or/counties/coos_county/bandon
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000051f6f5	http://dbpedia.org/resource/Burgundian_kingdom
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000051f6f5	http://dbpedia.org/resource/Second_Kingdom_of_Burgundy
http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000006170a	http://dbpedia.org/resource/Cantabric_Sea
http://rdf.freebase.com/ns/guid.9202a8c04000641f80000000000956a8	http://dbpedia.org/resource/Bourgogne_%28region%29
http://rdf.freebase.com/ns/guid.9202a8c04000641f8000000000049a5a	http://dbpedia.org/resource/Juran_kingdom
http://ceb.dbpedia.org/resource/Bourgogne_(pagklaro)	http://dbpedia.org/resource/Burgundy
http://dbpedia.org/resource/Burgundy	http://bg.dbpedia.org/resource/Бургундия_(пояснение)
http://dbpedia.org/resource/Burgundy	http://de.dbpedia.org/resource/Burgund_(Begriffsklärung)
http://dbpedia.org/resource/Burgundy	http://es.dbpedia.org/resource/Borgoña_(desambiguación)
http://dbpedia.org/resource/Burgundy	http://fr.dbpedia.org/resource/Bourgogne_(homonymie)
http://dbpedia.org/resource/Burgundy	http://fy.dbpedia.org/resource/Boergonje
http://dbpedia.org/resource/Burgundy	http://he.dbpedia.org/resource/בורגונדי
http://dbpedia.org/resource/Burgundy	http://hr.dbpedia.org/resource/Burgundija_(razdvojba)
http://dbpedia.org/resource/Burgundy	http://ja.dbpedia.org/resource/バーガンディ
http://dbpedia.org/resource/Burgundy	http://la.dbpedia.org/resource/Burgundia
http://dbpedia.org/resource/Burgundy	http://lt.dbpedia.org/resource/Burgundija_(reikšmės)
http://dbpedia.org/resource/Burgundy	http://nl.dbpedia.org/resource/Bourgondië
http://dbpedia.org/resource/Burgundy	http://oc.dbpedia.org/resource/Bourgogne
http://dbpedia.org/resource/Burgundy	http://pt.dbpedia.org/resource/Burgúndia
http://dbpedia.org/resource/Burgundy	http://ro.dbpedia.org/resource/Burgundia_(dezambiguizare)
http://dbpedia.org/resource/Burgundy	http://ru.dbpedia.org/resource/Бургундия_(значения)
http://dbpedia.org/resource/Burgundy	http://sk.dbpedia.org/resource/Burgundsko
http://dbpedia.org/resource/Burgundy	http://sl.dbpedia.org/resource/Burgundija_(razločitev)
http://rdf.freebase.com/ns/m.0lpp8	http://dbpedia.org/resource/Bourgogne_(region)
http://rdf.freebase.com/ns/m.0d5sb	http://dbpedia.org/resource/Cantabrian_sea
http://dbpedia.org/resource/Cantabrian_sea	http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000006170a
